route,day_of_week,hour,p80_delay,p90_delay,p95_delay,observations,reliability_score
BRI-PAD,Monday,8,4.2,7.7,10.85,8,Good
BRI-PAD,Tuesday,8,5.8,7.8,9.4,9,Good
BRI-PAD,Wednesday,8,9.2,15.2,20.6,10,Poor
BRI-PAD,Thursday,8,2.8,6.1,6.55,10,Excellent
BRI-PAD,Friday,8,10.0,15.0,18.5,8,Poor
BRI-PAD,Saturday,8,7.4,9.0,9.0,8,Good
BRI-PAD,Sunday,8,4.0,4.6,5.3,8,Excellent
BRI-PAD,Monday,9,4.0,4.6,5.3,8,Excellent
BRI-PAD,Tuesday,9,7.2,8.3,9.65,10,Good
BRI-PAD,Wednesday,9,7.6,10.2,11.1,10,Good
BRI-PAD,Thursday,9,9.4,16.1,21.05,10,Poor
BRI-PAD,Friday,9,3.6,4.6,5.3,8,Excellent
BRI-PAD,Saturday,9,9.4,15.2,20.1,8,Poor
BRI-PAD,Sunday,9,24.0,25.5,26.25,4,Very Poor
BRI-PAD,Monday,10,7.0,11.7,14.85,8,Good
BRI-PAD,Tuesday,10,6.8,10.7,13.85,10,Good
BRI-PAD,Wednesday,10,7.4,9.1,9.55,10,Good
BRI-PAD,Thursday,10,7.6,19.0,23.5,10,Poor
BRI-PAD,Friday,10,2.6,5.0,6.5,7,Excellent
BRI-PAD,Saturday,10,8.0,12.0,15.0,8,Good
BRI-PAD,Sunday,10,6.0,8.0,10.0,6,Good
CDF-PAD,Monday,8,5.2,8.1,10.5,12,Good
CDF-PAD,Tuesday,8,6.8,9.2,11.8,15,Good
CDF-PAD,Wednesday,8,7.4,10.5,13.2,14,Good
CDF-PAD,Thursday,8,4.8,7.2,9.6,13,Good
CDF-PAD,Friday,8,8.2,12.1,15.8,11,Good
CDF-PAD,Saturday,8,6.0,8.5,11.0,9,Good
CDF-PAD,Sunday,8,3.5,5.2,7.0,7,Excellent
CDF-PAD,Monday,9,4.8,7.1,9.5,12,Good
CDF-PAD,Tuesday,9,6.2,8.9,11.6,15,Good
CDF-PAD,Wednesday,9,7.8,11.2,14.5,14,Good
CDF-PAD,Thursday,9,5.4,8.1,10.8,13,Good
CDF-PAD,Friday,9,9.0,13.2,17.4,11,Good
CDF-PAD,Saturday,9,5.8,8.2,10.6,9,Good
CDF-PAD,Sunday,9,4.2,6.1,8.0,7,Good
EXD-PAD,Monday,8,6.8,9.5,12.2,10,Good
EXD-PAD,Tuesday,8,8.2,11.8,15.4,12,Good
EXD-PAD,Wednesday,8,9.6,13.2,16.8,11,Good
EXD-PAD,Thursday,8,7.4,10.5,13.6,13,Good
EXD-PAD,Friday,8,10.8,15.2,19.6,9,Poor
EXD-PAD,Saturday,8,8.0,11.5,15.0,8,Good
EXD-PAD,Sunday,8,5.2,7.8,10.4,6,Good
EXD-PAD,Monday,9,6.2,8.9,11.6,10,Good
EXD-PAD,Tuesday,9,7.8,11.2,14.6,12,Good
EXD-PAD,Wednesday,9,9.2,13.5,17.8,11,Good
EXD-PAD,Thursday,9,8.4,12.1,15.8,13,Good
EXD-PAD,Friday,9,11.2,16.8,22.4,9,Poor
EXD-PAD,Saturday,9,7.6,10.8,14.0,8,Good
EXD-PAD,Sunday,9,6.0,8.5,11.0,6,Good
PAD-HXX,Monday,8,4.2,6.8,9.4,15,Good
PAD-HXX,Tuesday,8,5.8,8.5,11.2,18,Good
PAD-HXX,Wednesday,8,6.4,9.2,12.0,17,Good
PAD-HXX,Thursday,8,4.8,7.1,9.4,16,Good
PAD-HXX,Friday,8,7.2,10.5,13.8,14,Good
PAD-HXX,Saturday,8,5.0,7.2,9.4,12,Good
PAD-HXX,Sunday,8,3.8,5.5,7.2,10,Excellent
PAD-HXX,Monday,9,4.0,6.2,8.4,15,Good
PAD-HXX,Tuesday,9,5.4,8.1,10.8,18,Good
PAD-HXX,Wednesday,9,6.0,8.8,11.6,17,Good
PAD-HXX,Thursday,9,4.6,7.0,9.4,16,Good
PAD-HXX,Friday,9,6.8,9.8,12.8,14,Good
PAD-HXX,Saturday,9,4.4,6.6,8.8,12,Good
PAD-HXX,Sunday,9,3.6,5.2,6.8,10,Excellent
VIC-GTW,Monday,8,6.8,9.5,12.2,12,Good
VIC-GTW,Tuesday,8,8.2,11.8,15.4,14,Good
VIC-GTW,Wednesday,8,9.6,13.2,16.8,13,Good
VIC-GTW,Thursday,8,7.4,10.5,13.6,15,Good
VIC-GTW,Friday,8,10.8,15.2,19.6,11,Poor
VIC-GTW,Saturday,8,8.0,11.5,15.0,10,Good
VIC-GTW,Sunday,8,5.2,7.8,10.4,8,Good
VIC-GTW,Monday,9,6.2,8.9,11.6,12,Good
VIC-GTW,Tuesday,9,7.8,11.2,14.6,14,Good
VIC-GTW,Wednesday,9,9.2,13.5,17.8,13,Good
VIC-GTW,Thursday,9,8.4,12.1,15.8,15,Good
VIC-GTW,Friday,9,11.2,16.8,22.4,11,Poor
VIC-GTW,Saturday,9,7.6,10.8,14.0,10,Good
VIC-GTW,Sunday,9,6.0,8.5,11.0,8,Good
