origin,dest,hour,dow,p80,p90,p95,obs_count
BRI,PAD,7,5,9.2,16.1,19.55,4
BRI,PAD,8,0,4.2,7.7,10.85,8
BRI,PAD,8,1,5.8,7.8,9.4,9
BRI,PAD,8,2,9.2,15.2,20.6,10
BRI,PAD,8,3,2.8,6.1,6.55,10
BRI,PAD,8,4,10.0,15.0,18.5,8
BRI,PAD,8,5,7.4,9.0,9.0,8
BRI,PAD,9,0,4.0,4.6,5.3,8
BRI,PAD,9,1,7.2,8.3,9.65,10
BRI,PAD,9,2,7.6,10.2,11.1,10
BRI,PAD,9,3,9.4,16.1,21.05,10
BRI,PAD,9,4,3.6,4.6,5.3,8
BRI,PAD,9,5,9.4,15.2,20.1,8
BRI,PAD,9,6,24.0,25.5,26.25,4
BRI,PAD,10,0,7.0,11.7,14.85,8
BRI,PAD,10,1,6.8,10.7,13.85,10
BRI,PAD,10,2,7.4,9.1,9.55,10
BRI,PAD,10,3,7.6,19.0,23.5,10
BRI,PAD,10,4,2.6,5.0,6.5,7
BRI,PAD,10,5,7.6,8.9,9.0,12
BRI,PAD,10,6,12.4,12.7,12.85,4
BRI,PAD,11,0,9.4,15.7,18.85,8
BRI,PAD,11,1,3.2,4.4,6.2,10
BRI,PAD,11,2,9.2,16.0,26.0,9
BRI,PAD,11,3,2.2,3.1,3.55,10
BRI,PAD,11,4,5.6,6.3,6.65,8
BRI,PAD,11,5,14.6,16.2,17.6,8
BRI,PAD,11,6,18.0,27.0,31.5,4
BRI,PAD,12,0,2.0,2.6,3.3,8
BRI,PAD,12,1,3.6,6.2,7.1,10
BRI,PAD,12,2,9.4,19.8,23.4,10
BRI,PAD,12,3,4.0,5.0,9.5,10
BRI,PAD,12,4,7.4,11.7,14.85,8
BRI,PAD,12,5,19.4,27.6,33.3,7
BRI,PAD,12,6,12.6,18.3,21.15,4
BRI,PAD,13,0,8.6,14.1,20.05,8
BRI,PAD,13,1,7.0,7.3,8.65,10
BRI,PAD,13,2,11.2,20.3,21.65,10
BRI,PAD,13,3,2.2,4.0,8.5,10
BRI,PAD,13,4,3.8,7.2,9.6,7
BRI,PAD,13,5,9.6,13.9,18.45,8
BRI,PAD,13,6,51.0,69.7,72.85,8
BRI,PAD,14,0,3.6,10.0,17.0,8
BRI,PAD,14,1,7.2,8.0,8.0,10
BRI,PAD,14,2,7.0,7.5,9.75,10
BRI,PAD,14,3,8.0,17.6,24.8,10
BRI,PAD,14,4,7.8,13.8,17.4,7
BRI,PAD,14,5,6.6,10.3,14.15,8
BRI,PAD,14,6,14.8,19.9,22.45,4
BRI,PAD,15,0,5.0,11.2,16.1,8
BRI,PAD,15,1,5.2,7.5,14.25,10
